"Time (s)","Recording (a.u.)"
0.000000000E0,-9.883569553E-3
2.083333333E-5,-9.132130072E-3
4.166666667E-5,-8.551189676E-3
6.250000000E-5,-8.078381419E-3
8.333333333E-5,-7.503194734E-3
1.041666667E-4,-6.884879898E-3
1.250000000E-4,-6.336403079E-3
1.458333333E-4,-5.952408537E-3
1.666666667E-4,-5.655041430E-3
1.875000000E-4,-5.290233064E-3
2.083333333E-4,-4.786942154E-3
2.291666667E-4,-4.161008168E-3
2.500000000E-4,-3.450954100E-3
2.708333333E-4,-2.749972511E-3
2.916666667E-4,-2.173245186E-3
3.125000000E-4,-1.690958394E-3
3.333333333E-4,-1.218693913E-3
3.541666667E-4,-7.513243472E-4
3.750000000E-4,-4.917480401E-4
3.958333333E-4,-2.157223353E-4
4.166666667E-4,3.582465579E-4
4.375000000E-4,1.071940991E-3
4.583333333E-4,1.951086335E-3
4.791666667E-4,2.791030332E-3
5.000000000E-4,3.331147600E-3
5.208333333E-4,3.558154684E-3
5.416666667E-4,3.765061963E-3
5.625000000E-4,4.191623069E-3
5.833333333E-4,4.663443193E-3
6.041666667E-4,5.244899541E-3
6.250000000E-4,5.782329012E-3
6.458333333E-4,6.239036564E-3
6.666666667E-4,6.835889537E-3
6.875000000E-4,7.425135002E-3
7.083333333E-4,8.025011048E-3
7.291666667E-4,8.544687182E-3
7.500000000E-4,8.873916231E-3
7.708333333E-4,9.120170958E-3
7.916666667E-4,9.453402832E-3
8.125000000E-4,9.988743812E-3
8.333333333E-4,1.051423792E-2
8.541666667E-4,1.105595566E-2
8.750000000E-4,1.165063586E-2
8.958333333E-4,1.217188872E-2
9.166666667E-4,1.264263317E-2
9.375000000E-4,1.297234278E-2
9.583333333E-4,1.306725480E-2
9.791666667E-4,1.293572411E-2
1.000000000E-3,1.294633187E-2
1.020833333E-3,1.324223541E-2
1.041666667E-3,1.356051583E-2
1.062500000E-3,1.387715992E-2
1.083333333E-3,1.399574988E-2
1.104166667E-3,1.390596479E-2
1.125000000E-3,1.382185332E-2
1.145833333E-3,1.380635798E-2
1.166666667E-3,1.385614369E-2
1.187500000E-3,1.382422633E-2
1.208333333E-3,1.367510017E-2
1.229166667E-3,1.337374002E-2
1.250000000E-3,1.315289736E-2
1.270833333E-3,1.322077401E-2
1.291666667E-3,1.333763637E-2
1.312500000E-3,1.338694990E-2
1.333333333E-3,1.328952238E-2
1.354166667E-3,1.307901740E-2
1.375000000E-3,1.281985641E-2
1.395833333E-3,1.253211219E-2
1.416666667E-3,1.227363385E-2
1.437500000E-3,1.191948168E-2
1.458333333E-3,1.158047095E-2
1.479166667E-3,1.137486938E-2
1.500000000E-3,1.121974550E-2
1.520833333E-3,1.101911347E-2
1.541666667E-3,1.073615998E-2
1.562500000E-3,1.039538905E-2
1.583333333E-3,9.997496381E-3
1.604166667E-3,9.732981212E-3
1.625000000E-3,9.453960694E-3
1.645833333E-3,9.062086232E-3
1.666666667E-3,8.730202913E-3
1.687500000E-3,8.338830434E-3
1.708333333E-3,8.027635515E-3
1.729166667E-3,7.876634598E-3
1.750000000E-3,7.778290659E-3
1.770833333E-3,7.640864234E-3
1.791666667E-3,7.273385301E-3
1.812500000E-3,6.736462470E-3
1.833333333E-3,6.154173985E-3
1.854166667E-3,5.660141818E-3
1.875000000E-3,5.243026651E-3
1.895833333E-3,4.834038205E-3
1.916666667E-3,4.568268079E-3
1.937500000E-3,4.298165441E-3
1.958333333E-3,3.992498387E-3
1.979166667E-3,3.680873662E-3
2.000000000E-3,3.214526456E-3
2.020833333E-3,2.644438995E-3
2.041666667E-3,2.060564468E-3
2.062500000E-3,1.525762724E-3
2.083333333E-3,1.007055282E-3
2.104166667E-3,5.857890355E-4
2.125000000E-3,2.118868724E-4
2.145833333E-3,-1.577036892E-4
2.166666667E-3,-3.903405741E-4
2.187500000E-3,-6.561526097E-4
2.208333333E-3,-9.725183481E-4
2.229166667E-3,-1.268986613E-3
2.250000000E-3,-1.674162690E-3
2.270833333E-3,-2.256046515E-3
2.291666667E-3,-2.781546907E-3
2.312500000E-3,-3.100472270E-3
2.333333333E-3,-3.239761340E-3
2.354166667E-3,-3.155448241E-3
2.375000000E-3,-3.166398499E-3
2.395833333E-3,-3.406064119E-3
2.416666667E-3,-3.719989909E-3
2.437500000E-3,-4.056988284E-3
2.458333333E-3,-4.348857794E-3
2.479166667E-3,-4.622198641E-3
2.500000000E-3,-4.725430626E-3
2.520833333E-3,-4.694378935E-3
2.541666667E-3,-4.718857817E-3
2.562500000E-3,-4.703140818E-3
2.583333333E-3,-4.671796225E-3
2.604166667E-3,-4.711221438E-3
2.625000000E-3,-4.755247384E-3
2.645833333E-3,-4.784636665E-3
2.666666667E-3,-4.884843715E-3
2.687500000E-3,-5.004055798E-3
2.708333333E-3,-5.156178493E-3
2.729166667E-3,-5.324674305E-3
2.750000000E-3,-5.364967510E-3
2.770833333E-3,-5.267225206E-3
2.791666667E-3,-5.020648241E-3
2.812500000E-3,-4.837595858E-3
